Iteration	Posterior	Likelihood	Prior	age_uapaca	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	turnover
370	-14385.6	-14299.06	-86.54068	119.471	0.3155173	0.0007251975	0.07798504	0.7528343	0.2375322	0.200383	0.241334	0.128929	0.0312993	0.331966	0.066088	119.471	0.25341	0.177019	0.277954	0.291617	0.2471657
380	-14379.31	-14290.51	-88.80286	78.01657	0.1627596	0.000673017	0.03516712	0.7839321	0.1275924	0.139964	0.252166	0.098651	0.0876585	0.351898	0.0696625	78.01657	0.260785	0.177607	0.280448	0.281161	0.2160679
390	-14355.04	-14267.96	-87.07929	99.77436	0.2765465	0.0007424399	0.170095	0.3849316	0.1064515	0.12639	0.282266	0.109901	0.0652677	0.31777	0.0984049	99.77436	0.268215	0.170316	0.277416	0.284052	0.6150684
400	-14351.03	-14270.33	-80.70165	76.69606	0.5757132	0.0008887401	0.2672524	0.535789	0.3084608	0.153865	0.241851	0.0978514	0.0875505	0.343592	0.0752903	76.69606	0.269486	0.166445	0.270156	0.293914	0.464211
410	-14360.43	-14279.78	-80.64476	87.13466	0.260354	0.001041138	0.06579512	0.7472859	0.1945589	0.139863	0.244494	0.098921	0.105043	0.347348	0.0643307	87.13466	0.281469	0.172737	0.269625	0.276169	0.2527141
420	-14374.99	-14292.59	-82.39666	93.39204	0.2267325	0.000729957	0.07705577	0.6601468	0.1496767	0.127592	0.218655	0.061911	0.116277	0.394965	0.0805992	93.39204	0.292212	0.163971	0.277729	0.266088	0.3398532
430	-14355.15	-14274.34	-80.81883	79.34542	0.2849606	0.0008605318	0.09405885	0.6699233	0.1909017	0.140688	0.293149	0.100151	0.127282	0.250545	0.0881854	79.34542	0.269466	0.180915	0.262058	0.287561	0.3300767
440	-14378.07	-14300.73	-77.34334	97.57715	0.3075019	0.0009370276	0.1234608	0.5985041	0.1840412	0.128776	0.331353	0.10727	0.044682	0.318067	0.0698523	97.57715	0.259199	0.178414	0.277621	0.284767	0.4014959
450	-14359.82	-14272.61	-87.20303	115.5463	0.2279184	0.0005450702	0.06482321	0.7155859	0.1630952	0.162882	0.270593	0.110156	0.0619031	0.307133	0.0873324	115.5463	0.269665	0.165234	0.278739	0.286362	0.2844141
460	-14355.5	-14276.27	-79.22327	74.11859	0.6272848	0.001064361	0.3013025	0.519672	0.3259824	0.152683	0.304139	0.110975	0.0593406	0.291002	0.0818597	74.11859	0.274939	0.1739	0.257871	0.29329	0.480328
470	-14366.38	-14291.88	-74.49353	97.14065	0.5955207	0.001200676	0.2640968	0.5565279	0.3314238	0.166225	0.245007	0.104532	0.0920721	0.276913	0.115251	97.14065	0.280968	0.179011	0.269845	0.270176	0.4434721
480	-14359.57	-14281.62	-77.94677	84.42849	0.941306	0.001040291	0.7998965	0.1502269	0.1414094	0.114778	0.290339	0.0781251	0.0570985	0.361144	0.0985147	84.42849	0.274083	0.177946	0.268134	0.279837	0.8497731
490	-14350.61	-14270.17	-80.441	78.31222	0.2999904	0.0008997529	0.1242029	0.585977	0.1757875	0.0975271	0.260714	0.0901193	0.086917	0.385695	0.0790277	78.31222	0.266606	0.181239	0.27054	0.281616	0.414023
500	-14375.15	-14298.17	-76.9845	93.50259	0.2768228	0.001012605	0.1598992	0.4223772	0.1169236	0.191575	0.230675	0.0633221	0.059428	0.371408	0.0835931	93.50259	0.265861	0.18174	0.269991	0.282408	0.5776228
510	-14375.96	-14287.38	-88.58004	100.03	0.2033882	0.0005395565	0.02496831	0.8772381	0.1784199	0.188641	0.25148	0.0630488	0.0585179	0.36572	0.0725932	100.03	0.277504	0.171806	0.268834	0.281857	0.1227619
520	-14375.16	-14283.17	-91.99299	92.92187	0.1556384	0.0004551716	0.04179518	0.7314596	0.1138432	0.185981	0.21257	0.0940737	0.0820111	0.350673	0.074691	92.92187	0.271139	0.172708	0.273925	0.282229	0.2685404
530	-14367.4	-14280.49	-86.90736	91.63914	0.2323001	0.0006630233	0.1068191	0.5401676	0.125481	0.129266	0.23968	0.11312	0.080299	0.354607	0.0830284	91.63914	0.274804	0.171444	0.271921	0.281831	0.4598324
540	-14390.92	-14305.83	-85.09654	98.66828	0.1766465	0.0006831275	0.05704241	0.6770815	0.1196041	0.115133	0.218608	0.119641	0.0817168	0.357245	0.107657	98.66828	0.267076	0.162403	0.273476	0.297045	0.3229185
550	-14363.73	-14285.87	-77.86311	90.60914	0.2851019	0.000898873	0.04551357	0.8403604	0.2395883	0.154244	0.258417	0.0513802	0.102972	0.364559	0.0684278	90.60914	0.268199	0.176953	0.273023	0.281825	0.1596396
560	-14365.17	-14291.69	-73.48432	77.69071	0.3541304	0.001235194	0.1459455	0.5878763	0.2081849	0.179922	0.231723	0.0921959	0.0578058	0.294004	0.14435	77.69071	0.260267	0.181877	0.285413	0.272443	0.4121237
570	-14363.93	-14287.37	-76.5647	80.42754	0.5059087	0.001060475	0.1590008	0.6857125	0.3469079	0.154532	0.310216	0.0952808	0.0634737	0.252516	0.12398	80.42754	0.269903	0.171049	0.265143	0.293904	0.3142875
580	-14370.33	-14282.95	-87.3827	111.2005	0.2046633	0.0006139421	0.09851019	0.5186719	0.1061531	0.193685	0.227522	0.1285	0.0572024	0.283595	0.109496	111.2005	0.274283	0.176022	0.2667	0.282995	0.4813281
590	-14380.74	-14294.72	-86.01484	83.84941	0.3293896	0.0007573616	0.13343	0.5949175	0.1959597	0.152076	0.310964	0.0944409	0.0920596	0.237771	0.112689	83.84941	0.274808	0.179434	0.268614	0.277144	0.4050825
600	-14370.9	-14281.09	-89.80652	116.3858	0.2432733	0.0006381907	0.1799619	0.2602481	0.06331143	0.118885	0.290887	0.065504	0.0738587	0.323168	0.127696	116.3858	0.271659	0.169909	0.273343	0.285089	0.7397519
