Iteration	Posterior	Likelihood	Prior	age_uapaca	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	root_time	sf[1]	sf[2]	sf[3]	sf[4]	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
200	-14043.34	-14212.32	168.9742	74.6685	0.207444	0.0003939212	0.0004497889	0.0001274195	0.0001920899	0.0001702734	0.0008411438	0.0009860132	8.259112e-05	0.0002663396	0.0002444786	0.0002207249	0.0008380255	0.0007849512	0.0003179902	0.00205462	0.002828272	0.0003938227	0.000493463	0.0003413219	0.001206126	0.001228599	0.0001655859	0.0005025817	0.0001255769	0.0003803046	0.0007321892	0.0001368611	0.001286568	0.001145485	0.000359418	0.0009045829	0.0001443503	0.0009323958	0.0005994695	0.0002214596	0.0005376712	0.0004713154	0.0009570312	0.0003111109	0.0004899614	0.07586271	0.6342978	0.1315812	0.141065	0.247385	0.117846	0.0859595	0.330384	0.0773607	0.0006216474	74.6685	0.269738	0.173511	0.273273	0.283477	0.3657022	0.000614628	-7.751132	0.8445572	0.7132768
210	-14040.53	-14215.32	174.7977	95.4369	0.1862226	0.001851447	0.0004067083	0.0001949171	0.0003471731	0.0003330196	0.001701171	0.0003334905	0.0005378683	0.0006891951	0.0004116419	0.0005290648	0.0003996481	0.001235535	0.000350463	0.001071205	0.001996574	0.0005336502	0.0006276516	0.0002925523	0.000148266	0.0004051485	0.0003073924	0.000558588	0.0003351159	0.0006586933	0.0007629787	0.0003288901	0.001476224	0.0009386871	0.0002791847	0.0006028468	0.0002633253	0.001046325	0.0003116403	0.0001590758	0.001013923	0.0002244374	0.001059383	0.0001599709	0.0005351077	0.02269956	0.8781053	0.163523	0.141146	0.278009	0.104199	0.0681457	0.330245	0.0782557	0.0006354545	95.4369	0.272012	0.173588	0.27679	0.277609	0.1218947	0.0006594613	-7.500221	0.5935215	0.3522677
220	-14046.45	-14215.28	168.8282	101.3367	0.1837931	0.0006956733	0.00025144	0.0001800078	0.0002514148	8.675416e-05	0.002150285	0.0002860213	9.984941e-05	0.0002317713	0.0003000469	0.0001054264	0.0002759536	0.000326668	0.0001889545	0.0005616848	0.002399444	0.0004300631	0.0004737937	0.0002978909	0.0004075801	0.0001416268	0.0001940774	0.000511211	0.0003888745	0.0005721959	0.001465025	0.000300892	0.0009798477	0.0009026646	9.53427e-05	0.0003590189	0.0005739358	0.001509701	0.00151652	4.38607e-05	0.002613894	0.0003251265	0.0006312435	0.000201488	7.052976e-05	0.06489134	0.6469328	0.1189018	0.144284	0.295443	0.0688081	0.0636343	0.343147	0.0846835	0.000584945	101.3367	0.271208	0.173075	0.273322	0.282395	0.3530672	0.0005687118	-8.033311	1.059409	1.122348
230	-14041.28	-14209.17	167.8945	96.15355	0.2312321	0.0006332856	2.263843e-05	0.0001375527	0.000290234	0.0003408931	0.002246613	9.285941e-05	2.519873e-05	0.000821867	4.08805e-05	0.0002403755	0.0001850331	0.0001817454	3.96359e-05	0.0009049861	0.00225167	0.0002473203	0.0003391617	0.0003098401	0.001161081	0.0001175825	0.0003725513	0.0003901383	0.0002858275	0.0004861596	0.0004366155	0.0002075459	8.421125e-05	0.0005536453	0.0001455252	0.001187632	0.0007996907	0.0006963442	9.204882e-05	8.545883e-05	0.00103091	0.0001959702	0.0007108062	0.0001590723	0.0001408039	0.05556146	0.7597156	0.1756706	0.153865	0.24329	0.0644924	0.0675504	0.380186	0.0906162	0.0004672853	96.15355	0.268416	0.17506	0.273719	0.282805	0.2402844	0.00051539	-8.161911	1.087497	1.182649
240	-14038.53	-14214.84	176.3097	101.0362	0.1208033	9.172532e-05	6.09071e-05	7.868929e-05	0.0002576619	0.0004162133	0.0005089851	0.000106542	8.368259e-05	0.0004616692	0.0005355325	0.0002544522	0.0001803961	0.0004917055	0.0002992996	0.001337461	0.003265118	0.0002858731	0.0003471362	0.0002591283	0.001140378	0.0003962866	0.000164013	0.0002588184	3.461941e-05	0.0001829854	0.0004413571	1.851973e-05	0.0001548983	0.0003827352	0.0002213239	0.001452876	0.0001670073	0.0005867988	0.0001154779	0.0001152573	0.002059037	0.0002178593	0.0005085175	0.0001408319	0.000260361	0.01806237	0.8504811	0.1027409	0.110293	0.233167	0.0823754	0.0775222	0.386804	0.109838	0.0004585534	101.0362	0.267117	0.17512	0.275086	0.282677	0.1495189	0.0004940426	-8.201662	1.085148	1.177546
250	-14032.65	-14208.53	175.8808	111.8561	0.1130952	0.0002065569	0.000142306	0.0001006088	0.0002398482	0.0002219574	0.0007609301	0.0002801595	0.0001033523	0.000629467	0.0002198557	0.0002837763	9.663871e-05	0.0005599598	0.0001132916	0.002574777	0.003031108	0.0002378195	0.000307962	0.0001582316	0.0007406526	0.0003453469	7.361979e-05	0.0004776922	0.001128607	0.0002459658	0.0002408692	0.0001265231	0.0003624759	0.0004432139	0.0001323105	0.0005343259	0.0004456144	0.000309734	0.0001404388	0.0001072312	0.001074409	0.0001742664	0.0001700086	0.0002266256	0.0002199086	0.01021295	0.909696	0.1028822	0.120199	0.297391	0.0868249	0.0842148	0.322626	0.0887445	0.0004497111	111.8561	0.268982	0.17519	0.272146	0.283682	0.090304	0.0004691902	-8.071334	0.9020328	0.8136632
260	-14043.49	-14213.01	169.5195	127.6005	0.1728634	0.00025313	0.0003559883	8.929572e-05	0.0002028935	0.000207447	0.0005318612	0.0002876551	0.0001701274	0.001035552	7.890367e-05	0.0001398849	0.0007217897	0.0003726327	8.068796e-05	0.001253112	0.002721607	0.0007926132	0.0004109737	0.0003493402	0.0005703053	0.0005413317	4.264786e-05	0.0001269309	5.680995e-05	0.0002459656	6.002043e-05	0.0002520773	0.0003129046	0.0007491381	0.0001571556	0.000653552	0.0002251988	0.001199253	0.0003686199	0.0001305198	0.0005822373	0.0005167619	0.0001724704	0.0001136085	0.0006620957	0.08678719	0.4979436	0.08607622	0.135433	0.26142	0.071207	0.0631294	0.366235	0.102575	0.0004448775	127.6005	0.271579	0.174814	0.27156	0.282047	0.5020564	0.0007280813	-7.641806	0.9129162	0.833416
270	-14045.53	-14217.17	171.638	99.22828	0.1214179	0.0003545484	0.0001074889	5.465921e-05	0.0003297618	0.0001148562	0.0006270089	9.416559e-05	7.150064e-05	0.0002445421	0.000204582	0.003144687	0.0001548688	0.0001783426	9.337071e-05	0.001886949	0.002779206	0.0004360937	0.0004997864	0.001266407	0.001190015	7.851582e-05	0.0002540696	0.0003323287	0.000223162	0.0004156731	0.0003058069	0.0003000082	0.0002684459	0.0004940731	0.0006014813	0.0006687013	0.0002280846	0.0009636882	0.0001531378	0.0001330146	0.0003735676	0.0002120754	0.0001921688	8.99085e-05	0.000158931	0.01262535	0.8960174	0.1087926	0.15425	0.229533	0.0750023	0.102045	0.355545	0.0836239	0.0005069921	99.22828	0.26696	0.174437	0.268602	0.29	0.1039826	0.0007782732	-7.860861	1.185266	1.404856
280	-14033.68	-14214.01	180.3305	76.69564	0.1263824	0.0002523828	8.756337e-05	0.0001216891	0.0001340775	5.015489e-05	0.0007521795	9.169137e-05	8.210238e-05	0.0008246471	0.0001348799	0.000502768	0.0001476927	0.0005756777	0.000113411	0.0003636549	0.002099088	0.0002420774	0.0003361329	0.0001199654	0.00105973	0.0005256853	0.0002073703	6.203846e-05	0.0006323687	0.0003850459	0.0001647651	0.0001156302	0.0003484168	0.0006936081	0.0003624182	0.0006019441	0.0002982977	0.001442052	0.0002219144	0.0003754302	0.0002533392	0.0003957295	0.0002691112	0.0001569612	0.0004772204	0.04074932	0.6775713	0.0856331	0.121795	0.240379	0.0556758	0.107369	0.385966	0.0888158	0.0004020228	76.69564	0.269227	0.179619	0.272785	0.278369	0.3224287	0.0004815736	-8.088812	0.9490627	0.90072
290	-14036.72	-14213.15	176.4282	102	0.1699622	0.0001382275	0.0007028067	0.0001019666	0.0003194091	0.0005540664	0.001178111	0.0002146258	0.000252482	0.0002972529	0.0003676904	0.0002997417	0.0004819616	0.0005220952	0.0002263813	0.001196116	0.001619256	0.0005476724	0.0003930719	0.0002227329	0.0008442891	8.877764e-05	0.0001102008	0.0001104293	0.0002673271	0.001655961	0.0004050614	0.0002847721	0.0002699401	0.0005064701	0.0001538066	0.0007396505	0.0001075035	0.002160136	0.0007485506	2.917038e-05	0.0002153117	0.0004855392	0.0004331815	0.0002004556	0.0002016081	0.06713156	0.6050206	0.1028306	0.124774	0.267606	0.102517	0.0981298	0.309663	0.0973104	0.0004913452	102	0.26649	0.177793	0.276323	0.279394	0.3949794	0.0005211968	-8.006233	0.9453576	0.8937009
