state	power	likelihood
870	0.90204	-14253.5
880	0.90204	-14250.1
890	0.90204	-14254.1
900	0.90204	-14244.9
910	0.90204	-14251
920	0.90204	-14260.1
930	0.90204	-14262.1
940	0.90204	-14254.3
950	0.90204	-14250.9
960	0.90204	-14249.2
970	0.90204	-14247.6
980	0.90204	-14248.8
990	0.90204	-14249.1
1000	0.90204	-14243.1
260	0.811912	-14260
270	0.811912	-14252.7
280	0.811912	-14251.3
290	0.811912	-14248.7
300	0.811912	-14253.6
310	0.811912	-14255.5
320	0.811912	-14256.4
330	0.811912	-14250.3
340	0.811912	-14254.3
350	0.811912	-14254.5
360	0.811912	-14254.1
370	0.811912	-14253.9
380	0.811912	-14256
390	0.811912	-14252.7
400	0.811912	-14253
410	0.811912	-14253.7
420	0.811912	-14253.7
430	0.811912	-14250.2
440	0.811912	-14257.4
450	0.811912	-14252.1
460	0.811912	-14251.1
470	0.811912	-14252
480	0.811912	-14265.5
490	0.811912	-14253.6
500	0.811912	-14244.5
510	0.811912	-14252.9
520	0.811912	-14251.4
530	0.811912	-14253.5
540	0.811912	-14249.4
550	0.811912	-14251.2
560	0.811912	-14251
570	0.811912	-14251.6
580	0.811912	-14254.5
590	0.811912	-14255.4
600	0.811912	-14247.7
610	0.811912	-14258.1
620	0.811912	-14249.6
630	0.811912	-14258.1
640	0.811912	-14254.3
650	0.811912	-14247.9
660	0.811912	-14247.8
670	0.811912	-14255.3
680	0.811912	-14261.2
690	0.811912	-14263.1
700	0.811912	-14251.9
710	0.811912	-14249.7
720	0.811912	-14242.3
730	0.811912	-14250.8
740	0.811912	-14254.6
750	0.811912	-14258
760	0.811912	-14251.1
770	0.811912	-14266.9
780	0.811912	-14256.3
790	0.811912	-14256.7
800	0.811912	-14264.2
810	0.811912	-14254.9
820	0.811912	-14263.7
830	0.811912	-14255.7
840	0.811912	-14260.3
850	0.811912	-14248.6
860	0.811912	-14248.2
870	0.811912	-14253.1
880	0.811912	-14254
890	0.811912	-14251.4
900	0.811912	-14254.6
910	0.811912	-14254
920	0.811912	-14262
930	0.811912	-14255.6
940	0.811912	-14253.3
950	0.811912	-14261
960	0.811912	-14262.8
970	0.811912	-14257
980	0.811912	-14252.4
990	0.811912	-14260.9
1000	0.811912	-14255.7
260	0.729136	-14262.8
