state	power	likelihood
760	0.90204	-14229.3
770	0.90204	-14225
780	0.90204	-14225.5
790	0.90204	-14222.3
800	0.90204	-14211.8
810	0.90204	-14216.7
820	0.90204	-14227
830	0.90204	-14220.3
840	0.90204	-14215.6
850	0.90204	-14219.1
860	0.90204	-14225.7
870	0.90204	-14214.3
880	0.90204	-14221.9
890	0.90204	-14223.1
900	0.90204	-14228.2
910	0.90204	-14225.9
920	0.90204	-14227.2
930	0.90204	-14238
940	0.90204	-14221.8
950	0.90204	-14216.9
960	0.90204	-14212.1
970	0.90204	-14218.5
980	0.90204	-14215.6
990	0.90204	-14215
1000	0.90204	-14221.8
260	0.811912	-14217.5
270	0.811912	-14222.3
280	0.811912	-14215
290	0.811912	-14217.4
300	0.811912	-14213.3
310	0.811912	-14223.6
320	0.811912	-14216.1
330	0.811912	-14217.5
340	0.811912	-14219.4
350	0.811912	-14215.6
360	0.811912	-14221.5
370	0.811912	-14217.9
380	0.811912	-14217.6
390	0.811912	-14225.1
400	0.811912	-14226.3
410	0.811912	-14214.8
420	0.811912	-14211.7
430	0.811912	-14219.1
440	0.811912	-14211.6
450	0.811912	-14218.2
460	0.811912	-14222.2
470	0.811912	-14213.7
480	0.811912	-14215.3
490	0.811912	-14230.1
500	0.811912	-14221.2
510	0.811912	-14218
520	0.811912	-14227.8
530	0.811912	-14218.5
540	0.811912	-14216.1
550	0.811912	-14221.8
560	0.811912	-14225.3
570	0.811912	-14223.2
580	0.811912	-14215.9
590	0.811912	-14209.9
600	0.811912	-14210.5
610	0.811912	-14214.9
620	0.811912	-14215.4
630	0.811912	-14229.2
640	0.811912	-14228.9
650	0.811912	-14214.5
660	0.811912	-14217
670	0.811912	-14221.5
680	0.811912	-14215.1
690	0.811912	-14222.2
700	0.811912	-14217.5
710	0.811912	-14223.8
720	0.811912	-14228.1
730	0.811912	-14219.5
740	0.811912	-14215.1
750	0.811912	-14225.5
760	0.811912	-14229.1
770	0.811912	-14218.2
780	0.811912	-14226.3
790	0.811912	-14219
800	0.811912	-14220.6
810	0.811912	-14213.2
820	0.811912	-14214.2
830	0.811912	-14219.4
840	0.811912	-14218.6
850	0.811912	-14214.8
860	0.811912	-14210.1
870	0.811912	-14217.2
880	0.811912	-14226.9
890	0.811912	-14216.3
900	0.811912	-14217
910	0.811912	-14222.5
920	0.811912	-14214
930	0.811912	-14220.5
940	0.811912	-14214
950	0.811912	-14220.9
960	0.811912	-14218.6
970	0.811912	-14220.1
980	0.811912	-14216.3
990	0.811912	-14216.7
1000	0.811912	-14214.4
260	0.729136	-14228.6
270	0.729136	-14217.8
280	0.729136	-14218
290	0.729136	-14227.4
300	0.729136	-14223
310	0.729136	-14222.7
320	0.729136	-14233.6
330	0.729136	-14217.4
340	0.729136	-14209.2
350	0.729136	-14216.5
360	0.729136	-14222.7
370	0.729136	-14211.2
380	0.729136	-14220.9
390	0.729136	-14222.2
400	0.729136	-14220.5
410	0.729136	-14228.4
420	0.729136	-14218.1
430	0.729136	-14215.2
440	0.729136	-14224.5
450	0.729136	-14220.4
460	0.729136	-14217.4
470	0.729136	-14220.4
480	0.729136	-14227.9
490	0.729136	-14229.8
500	0.729136	-14229.3
510	0.729136	-14220.5
520	0.729136	-14228.4
530	0.729136	-14216.2
540	0.729136	-14216.6
550	0.729136	-14212.9
560	0.729136	-14222.9
570	0.729136	-14224.3
580	0.729136	-14225.9
590	0.729136	-14221.1
600	0.729136	-14227.1
610	0.729136	-14224.3
620	0.729136	-14231
630	0.729136	-14219.8
640	0.729136	-14241.8
650	0.729136	-14233.1
660	0.729136	-14228.8
670	0.729136	-14232.3
680	0.729136	-14227.4
690	0.729136	-14212.5
700	0.729136	-14219.3
710	0.729136	-14221.1
720	0.729136	-14214
730	0.729136	-14221.6
740	0.729136	-14221.6
750	0.729136	-14229.8
760	0.729136	-14220.6
770	0.729136	-14220.2
780	0.729136	-14218.2
790	0.729136	-14225.3
800	0.729136	-14218.4
810	0.729136	-14213
820	0.729136	-14226.7
830	0.729136	-14226.2
840	0.729136	-14209.5
850	0.729136	-14230.8
860	0.729136	-14212.9
870	0.729136	-14223.4
880	0.729136	-14215.1
890	0.729136	-14212
900	0.729136	-14218
910	0.729136	-14210.5
920	0.729136	-14218.4
930	0.729136	-14228
940	0.729136	-14226
950	0.729136	-14221.7
960	0.729136	-14214.9
970	0.729136	-14220.6
980	0.729136	-14212.5
990	0.729136	-14218.1
1000	0.729136	-14219.4
260	0.653254	-14227.7
270	0.653254	-14225.8
280	0.653254	-14238.7
290	0.653254	-14218.6
300	0.653254	-14216.2
310	0.653254	-14217.5
320	0.653254	-14220.1
330	0.653254	-14231.2
340	0.653254	-14218.6
350	0.653254	-14214.8
360	0.653254	-14222.2
370	0.653254	-14225.7
380	0.653254	-14221.3
390	0.653254	-14221.1
400	0.653254	-14224.7
410	0.653254	-14209.7
420	0.653254	-14225.9
430	0.653254	-14221.9
440	0.653254	-14220.3
450	0.653254	-14218.9
460	0.653254	-14226.7
470	0.653254	-14220
480	0.653254	-14223.6
490	0.653254	-14224.8
500	0.653254	-14229.1
510	0.653254	-14234.3
520	0.653254	-14230.1
530	0.653254	-14221.2
540	0.653254	-14227.4
550	0.653254	-14229.9
560	0.653254	-14212.9
570	0.653254	-14230.6
580	0.653254	-14223.9
590	0.653254	-14219.5
600	0.653254	-14228.4
610	0.653254	-14241
620	0.653254	-14238.9
630	0.653254	-14234.5
640	0.653254	-14244.4
650	0.653254	-14245.6
660	0.653254	-14236.3
670	0.653254	-14237.3
680	0.653254	-14226.3
690	0.653254	-14233.7
700	0.653254	-14230.1
710	0.653254	-14216.3
720	0.653254	-14247.7
730	0.653254	-14234.7
740	0.653254	-14222.4
750	0.653254	-14236.5
760	0.653254	-14227.3
770	0.653254	-14228.4
780	0.653254	-14226.9
790	0.653254	-14226.7
800	0.653254	-14233.4
810	0.653254	-14238.5
820	0.653254	-14225.9
830	0.653254	-14225.9
840	0.653254	-14240.5
850	0.653254	-14218.9
860	0.653254	-14236.6
870	0.653254	-14221.9
880	0.653254	-14233.1
890	0.653254	-14221.4
900	0.653254	-14224.1
910	0.653254	-14235.1
920	0.653254	-14226.4
930	0.653254	-14233.7
940	0.653254	-14225.4
950	0.653254	-14224.5
960	0.653254	-14221
970	0.653254	-14224.6
980	0.653254	-14236.2
990	0.653254	-14227.3
1000	0.653254	-14232.1
260	0.583825	-14236.4
270	0.583825	-14224.5
280	0.583825	-14226.4
290	0.583825	-14223.9
300	0.583825	-14242.9
310	0.583825	-14224.8
320	0.583825	-14230.9
330	0.583825	-14235.8
340	0.583825	-14237.9
350	0.583825	-14227.6
360	0.583825	-14237.9
370	0.583825	-14236.4
380	0.583825	-14235.6
390	0.583825	-14220.9
400	0.583825	-14234.8
