Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
370	-255488.5	-255369.1	-119.4101	52.90603	0.03651908	0.0006386149	-0.04816509	0.122384	0.271155	0.11699	0.109463	0.263754	0.116254	0.07311858	1.82131e-17	6.3753e-09	0.000634647	3.99937	0.297124	0.180231	0.212601	0.310043	0.0249535	2.930194
380	-255491.1	-255370.6	-120.4326	52.90603	0.02898485	0.0006304007	-0.0008495595	0.130865	0.267648	0.124113	0.108048	0.260342	0.108985	0.06356986	9.45316e-22	4.59598e-11	8.19902e-05	3.99992	0.297785	0.180632	0.213074	0.308508	0.0627203	1.013545
390	-255487.1	-255366.9	-120.2364	52.90603	0.01142427	0.0006301258	0.03086981	0.121243	0.269311	0.127233	0.103599	0.266888	0.111725	0.07482585	1.11778e-53	5.0053e-27	1.94674e-11	4	0.297122	0.18023	0.2126	0.310048	0.1056957	0.7079368
400	-255478.6	-255358.5	-120.1187	52.90603	0.0103314	0.0006207813	-0.04300814	0.122161	0.271352	0.122581	0.106974	0.262668	0.114263	0.07967717	2.9768e-59	8.16898e-30	1.35687e-12	4	0.297091	0.180211	0.212683	0.310015	0.03666903	2.172873
410	-255475.9	-255355.1	-120.7996	52.85094	0.01276764	0.0006161434	0.05033041	0.122256	0.271562	0.122676	0.103446	0.265708	0.114352	0.08361366	3.91916e-48	2.96345e-24	2.7535e-10	4	0.296386	0.180391	0.212896	0.310326	0.1339441	0.6242431
420	-255478.3	-255357.5	-120.7835	52.85094	0.04071643	0.0006247323	-0.002052543	0.122256	0.271562	0.122676	0.103446	0.265708	0.114352	0.1189569	9.11149e-16	4.50764e-08	0.00142874	3.99857	0.297205	0.18089	0.211907	0.309998	0.1169043	1.017557
430	-255481.9	-255361.7	-120.1349	52.85094	0.0254593	0.0006167537	-0.02481295	0.12839	0.267893	0.121018	0.104016	0.26844	0.110242	0.07675405	1.2573e-24	1.67665e-12	2.07546e-05	3.99998	0.297205	0.18089	0.211907	0.309998	0.05194111	1.477713
440	-255478.3	-255357.7	-120.5395	52.85094	0.004777014	0.0006228129	-0.001132561	0.127173	0.262304	0.120628	0.104441	0.264444	0.121009	0.1156839	5.20295e-127	1.08051e-63	1.18011e-26	4	0.297205	0.18089	0.211907	0.309998	0.1145514	1.009887
450	-255479.1	-255358.8	-120.2268	52.85094	0.03983386	0.0006164361	-0.04522991	0.128714	0.265484	0.122091	0.105707	0.26765	0.110354	0.1073724	4.28585e-16	3.09176e-08	0.00122185	3.99878	0.297205	0.18089	0.211907	0.309998	0.06214251	1.727842
460	-255472.9	-255352.8	-120.1641	52.74015	0.01344528	0.0006119153	0.05378458	0.124941	0.268842	0.120848	0.102887	0.26832	0.114162	0.05408525	9.3273e-46	4.57144e-23	8.57088e-10	4	0.297205	0.18089	0.211907	0.309998	0.1078698	0.5013937
470	-255458.8	-255336.7	-122.1825	52.35167	0.03793459	0.0005682982	0.03374593	0.123397	0.269317	0.121061	0.103068	0.268793	0.114363	0.08346167	7.50673e-17	1.29414e-08	0.000851336	3.99915	0.297418	0.180303	0.212058	0.31022	0.1172076	0.7120841
480	-255455	-255333.2	-121.8813	52.35167	0.0111323	0.0005680227	0.03152501	0.125531	0.27111	0.118685	0.103755	0.266787	0.114132	0.03424806	4.6365e-55	1.01943e-27	1.00577e-11	4	0.298246	0.179036	0.212649	0.310069	0.06577307	0.5207004
490	-255463.6	-255341.9	-121.6509	52.35167	0.02218727	0.0005657313	0.006170573	0.125269	0.269124	0.117816	0.105364	0.264833	0.117594	0.07750605	4.09496e-28	3.0267e-14	3.92329e-06	4	0.298246	0.179036	0.212649	0.310069	0.08367662	0.9262569
500	-255460.3	-255338.3	-122.0257	52.35167	0.01953736	0.0005537851	0.02224579	0.126719	0.256293	0.119293	0.106685	0.272777	0.118233	0.07950527	8.55054e-32	4.37463e-16	6.76217e-07	4	0.299295	0.179665	0.213396	0.307644	0.1017511	0.7813705
510	-255454.1	-255332.1	-121.9958	52.63569	0.02191783	0.0005501045	-0.07986301	0.125529	0.261308	0.120196	0.107492	0.274841	0.110634	0.09215682	1.89971e-28	2.06157e-14	3.34538e-06	4	0.299295	0.179665	0.213396	0.307644	0.01229381	7.496197
520	-255458.1	-255335	-123.1092	52.14317	0.004221331	0.0005531332	0.1011346	0.126128	0.260148	0.11509	0.108005	0.276154	0.114475	0.009190117	1.33579e-143	5.47515e-72	4.25712e-30	4	0.299295	0.179665	0.213396	0.307644	0.1103248	0.08330059
530	-255461	-255338.1	-122.9456	52.14317	0.03293431	0.0005405478	-0.03709261	0.124297	0.26225	0.113505	0.106437	0.280697	0.112814	0.1277596	2.92547e-19	8.08239e-10	0.000269396	3.99973	0.299295	0.179665	0.213396	0.307644	0.09066696	1.409108
540	-255457.2	-255335.3	-121.9125	52.14317	0.02314683	0.0005546163	-0.07341479	0.11881	0.257616	0.12194	0.108005	0.281509	0.11212	0.08195036	5.45868e-27	1.10497e-13	6.71457e-06	3.99999	0.299034	0.18038	0.21321	0.307376	0.008535565	9.601046
550	-255461.7	-255338.7	-123.0278	51.54242	0.02088254	0.0005446313	-0.08321969	0.126301	0.264959	0.116281	0.106054	0.277085	0.109321	0.1007281	8.25921e-30	4.29895e-15	1.7455e-06	4	0.299034	0.18038	0.21321	0.307376	0.01750837	5.753137
560	-255448.6	-255326.2	-122.3558	52.79535	0.0462363	0.0005332034	0.05371866	0.128303	0.257278	0.121781	0.109442	0.270516	0.11268	0.01685819	5.3024e-14	3.43706e-07	0.00331884	3.99668	0.298517	0.180068	0.212842	0.308573	0.07057685	0.2388629
570	-255456.3	-255333.5	-122.7325	52.79535	0.01243804	0.0005542665	-0.02063026	0.1279	0.257976	0.122112	0.107774	0.271251	0.112986	0.098759	2.20608e-49	7.0311e-25	1.51564e-10	4	0.298517	0.180068	0.212842	0.308573	0.07812873	1.264055
580	-255451.8	-255329.3	-122.5106	52.79535	0.0249029	0.0005472757	0.04587188	0.13178	0.266096	0.113533	0.109796	0.264731	0.114064	0.03914325	3.72498e-25	9.1265e-13	1.61254e-05	3.99998	0.298517	0.180068	0.212842	0.308573	0.08501512	0.4604269
590	-255455.6	-255331.6	-123.9836	52.79535	0.02204062	0.0005303193	0.0354772	0.129432	0.260384	0.112704	0.10784	0.275232	0.114409	0.09852278	2.70219e-28	2.45872e-14	3.59911e-06	4	0.298517	0.180068	0.212842	0.308573	0.134	0.7352448
600	-255455.9	-255333.6	-122.3497	52.79535	0.03812475	0.0005418352	0.04336653	0.123591	0.262536	0.113635	0.104729	0.280152	0.115355	0.0466574	9.00736e-17	1.41758e-08	0.00088413	3.99912	0.298517	0.180068	0.212842	0.308573	0.09002393	0.5182777
610	-255461.9	-255339.7	-122.108	52.79535	0.00281054	0.0005299809	-0.05813665	0.121517	0.265611	0.118262	0.0966628	0.283434	0.114513	0.06312683	3.42018e-215	8.76205e-108	5.92357e-45	4	0.298514	0.180067	0.212274	0.309145	0.00499018	12.65021
620	-255455.8	-255332.6	-123.1976	52.79535	0.03901005	0.0005267899	-0.05446046	0.120292	0.262299	0.117071	0.110822	0.276157	0.11336	0.1144723	2.05549e-16	2.14129e-08	0.00104914	3.99895	0.299976	0.17808	0.213313	0.308631	0.0600118	1.907496
630	-255457.4	-255334.9	-122.4091	52.79535	0.01817762	0.0005387105	0.06852995	0.12049	0.269475	0.11992	0.102538	0.276088	0.11149	0.009124468	4.23628e-34	3.07955e-17	2.2482e-07	4	0.299231	0.180121	0.212783	0.307865	0.07765442	0.117501
