Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
32	0	-257716.4	-257651.8	-64.59376	1.925138	0.004460012	0.02002421	-1.515932	0.123542	0.268826	0.114081	0.106239	0.271009	0.116304	1.577121	5.73217e-136	3.58655e-68	1.63307e-28	4	0.299264	0.179185	0.210778	0.310773	0.06118892	25.77461
33	1	-255913.3	-255807	-106.3347	28.51041	0.03778002	0.001326557	0.09137628	0.121138	0.265238	0.11703	0.101925	0.278294	0.116375	0.06444847	6.46442e-17	1.20096e-08	0.000825346	3.99917	0.300318	0.179891	0.211997	0.307793	0.1558248	0.4135959
34	0	-257124.7	-257061.2	-63.53861	1.925138	0.006277331	0.0196426	-0.857868	0.123516	0.26877	0.114057	0.106426	0.270952	0.116279	0.9466676	6.89681e-97	1.24386e-48	2.10279e-20	4	0.299264	0.179185	0.210778	0.310773	0.0887996	10.66072
35	1	-255896.7	-255790.5	-106.2285	28.60992	0.02061153	0.001217282	0.1785766	0.123207	0.263786	0.11639	0.104109	0.27677	0.115738	0.04193506	3.45046e-30	2.7787e-15	1.45637e-06	4	0.30022	0.180158	0.211928	0.307693	0.2205116	0.1901717
36	0	-257121.9	-257059.3	-62.57925	1.925138	0.004978543	0.0196426	-1.050739	0.123533	0.268806	0.114072	0.106305	0.270989	0.116295	1.093422	6.57637e-122	3.84141e-61	1.35088e-25	4	0.29788	0.179539	0.211194	0.311387	0.04268284	25.61737
37	1	-255790.8	-255682	-108.853	30.48581	0.02002845	0.0009576515	0.1210232	0.123235	0.263847	0.116187	0.104133	0.276834	0.115764	0.01426703	4.8703e-31	1.04401e-15	9.70175e-07	4	0.30022	0.180158	0.211928	0.307693	0.1352903	0.105455
38	0	-257113.6	-257049.2	-64.36995	1.925138	0.004244327	0.02010132	-1.276045	0.123008	0.271914	0.113587	0.105854	0.269837	0.115801	1.427262	7.91529e-143	1.33278e-71	6.15842e-30	4	0.29788	0.179539	0.211194	0.311387	0.1512168	9.438511
39	1	-255743.6	-255633	-110.5807	32.87403	0.02563205	0.001046442	0.08851742	0.119789	0.263724	0.119986	0.104085	0.276705	0.11571	0.01377821	1.81471e-24	2.01428e-12	2.23963e-05	3.99998	0.30022	0.180158	0.211928	0.307693	0.1022956	0.1346901
40	0	-257107.4	-257043.9	-63.51233	1.925138	0.005847312	0.02003611	-0.8038689	0.124104	0.271558	0.113439	0.105715	0.269484	0.115701	0.8618919	6.0998e-104	3.69932e-52	7.22974e-22	4	0.29923	0.180353	0.212151	0.308266	0.058023	14.85432
41	1	-255737.6	-255625.8	-111.8374	35.88809	0.00475471	0.001029156	0.07849362	0.120242	0.264722	0.12044	0.104479	0.277752	0.112365	0.01450562	1.33363e-127	5.47046e-64	8.89686e-27	4	0.300594	0.179137	0.212192	0.308076	0.09299924	0.1559757
