Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
139	-22.86552	-21.08039	-1.785125	0.7548314	0.7548314	0.7548314	-3.984655	0.0001035965
140	-23.1264	-21.0834	-2.042999	0.9961196	0.9961196	0.9961196	-3.260516	0.0005488886
141	-23.61145	-21.09099	-2.520462	1.26942	1.26942	1.26942	-2.771072	0.001694056
142	-23.64611	-21.12565	-2.520462	1.26942	1.26942	1.26942	-2.160972	0.00690284
143	-24.10726	-21.11634	-2.990913	1.502455	1.502455	1.502455	-2.253751	0.005575053
144	-23.17891	-21.08112	-2.097791	1.031846	1.031846	1.031846	-3.67407	0.0002118018
145	-22.92701	-21.08276	-1.84425	0.8359647	0.8359647	0.8359647	-3.346221	0.0004505874
146	-23.0707	-21.08903	-1.981672	0.9533258	0.9533258	0.9533258	-2.861592	0.001375334
147	-22.9035	-21.08101	-1.822495	0.8111899	0.8111899	0.8111899	-3.7133	0.0001935086
148	-22.85064	-21.0808	-1.769839	0.6644318	0.6644318	0.6644318	-3.791168	0.0001617455
149	-23.8172	-21.09937	-2.717833	1.369307	1.369307	1.369307	-2.527671	0.002967078
150	-25.08727	-21.12435	-3.962925	1.959532	1.959532	1.959532	-2.156146	0.006979984
151	-25.70871	-21.42021	-4.288495	2.112152	2.112152	2.112152	-1.253353	0.05580165
152	-25.72517	-21.43667	-4.288495	2.112152	2.112152	2.112152	-1.231829	0.05863689
153	-23.67854	-21.666	-2.012538	0.9753013	0.9753013	0.9753013	-1.047365	0.08966751
154	-23.40416	-21.38629	-2.01787	0.9790029	0.9790029	0.9790029	-1.336957	0.0460302
155	-23.04646	-21.26096	-1.785498	0.7555784	0.7555784	0.7555784	-1.574849	0.0266165
156	-23.01234	-21.13825	-1.874093	0.5456349	0.5456349	0.5456349	-2.073175	0.008449383
157	-22.95515	-21.08106	-1.874093	0.5456349	0.5456349	0.5456349	-3.702373	0.000198439
158	-23.55625	-21.08498	-2.47127	0.3797745	0.3797745	0.3797745	-3.121404	0.00075613
159	-23.55969	-21.08842	-2.47127	0.3797745	0.3797745	0.3797745	-2.903898	0.001247677
160	-22.94627	-21.10314	-1.843131	0.5658668	0.5658668	0.5658668	-2.470613	0.003383663
161	-23.02769	-21.087	-1.940683	0.9223974	0.9223974	0.9223974	-2.968272	0.001075792
162	-22.90958	-21.08092	-1.828665	0.8185724	0.8185724	0.8185724	-3.743586	0.0001804737
163	-23.48002	-21.08059	-2.399433	1.205731	1.205731	1.205731	-3.868253	0.0001354401
164	-23.39664	-21.10141	-2.295233	1.148728	1.148728	1.148728	-2.490058	0.003235503
165	-22.88407	-21.08144	-1.80263	0.7846143	0.7846143	0.7846143	-3.591417	0.000256202
166	-22.86533	-21.08895	-1.776378	0.7345007	0.7345007	0.7345007	-2.87002	0.001348902
167	-23.50513	-21.52867	-1.976459	0.4974833	0.4974833	0.4974833	-1.184262	0.06542406
168	-23.38874	-21.52669	-1.862052	0.5530141	0.5530141	0.5530141	-1.184262	0.06542406
169	-23.64262	-21.2621	-2.380518	0.3951027	0.3951027	0.3951027	-1.582059	0.02617827
170	-23.47129	-21.09077	-2.380518	0.3951027	0.3951027	0.3951027	-2.800094	0.001584551
171	-23.6595	-21.08121	-2.578296	0.3636044	0.3636044	0.3636044	-3.66312	0.0002172099
172	-23.19234	-21.0812	-2.11114	0.4540805	0.4540805	0.4540805	-3.66312	0.0002172099
173	-23.40452	-21.30379	-2.100725	0.456964	0.456964	0.456964	-1.490426	0.03232765
174	-24.3314	-22.23068	-2.100725	0.456964	0.456964	0.456964	-0.7665743	0.1711692
175	-24.1669	-22.06617	-2.100725	0.456964	0.456964	0.456964	-0.8361121	0.1458438
176	-24.3327	-22.55064	-1.782057	0.6311788	0.6311788	0.6311788	-0.6422823	0.227886
177	-24.48675	-22.67341	-1.813347	0.5907747	0.5907747	0.5907747	-0.6075727	0.2468467
178	-24.52746	-22.60981	-1.917641	0.5225974	0.5225974	0.5225974	-0.6318137	0.2334459
179	-25.56996	-23.69505	-1.874908	0.545154	0.545154	0.545154	-0.3710689	0.4255309
180	-25.53827	-23.73039	-1.807884	0.7921604	0.7921604	0.7921604	-0.3286746	0.4691648
181	-25.78298	-23.90388	-1.879101	0.8703741	0.8703741	0.8703741	-0.2788349	0.5262173
182	-24.9496	-22.79049	-2.159107	1.069796	1.069796	1.069796	-0.5317754	0.2939169
183	-26.3659	-22.75642	-3.609472	1.794393	1.794393	1.794393	-0.4668874	0.3412814
184	-26.25863	-22.69278	-3.565858	1.774	1.774	1.774	-0.493304	0.3211412
185	-25.29979	-22.86307	-2.436722	1.225604	1.225604	1.225604	-0.4941465	0.3205188
186	-25.11164	-22.68356	-2.428077	1.221018	1.221018	1.221018	-0.5517488	0.2807057
187	-26.54967	-21.40674	-5.142927	2.519626	2.519626	2.519626	-1.258333	0.05516548
188	-27.32136	-21.08978	-6.231586	3.061772	3.061772	3.061772	-2.775591	0.00167652
189	-24.88143	-21.08432	-3.797112	1.882053	1.882053	1.882053	-3.144124	0.0007175894
190	-23.01161	-21.08076	-1.930856	0.9146159	0.9146159	0.9146159	-3.802124	0.0001577161
191	-22.98843	-21.11814	-1.870295	0.8621331	0.8621331	0.8621331	-2.248585	0.005641765
192	-23.03189	-21.09369	-1.938204	0.9204499	0.9204499	0.9204499	-2.686377	0.00205884
193	-23.11962	-21.08551	-2.034105	0.9901206	0.9901206	0.9901206	-3.065819	0.0008593726
194	-22.89736	-21.1296	-1.767764	0.6802229	0.6802229	0.6802229	-2.139454	0.007253475
195	-23.74957	-21.74223	-2.007335	0.9716639	0.9716639	0.9716639	-0.9920818	0.10184
196	-24.23851	-21.80548	-2.433031	1.223647	1.223647	1.223647	-0.9391559	0.1150387
197	-24.55841	-22.10567	-2.452743	1.234069	1.234069	1.234069	-0.7751562	0.16782
198	-23.13918	-21.24724	-1.891942	0.8819589	0.8819589	0.8819589	-1.605849	0.02478284
199	-23.00573	-21.1332	-1.872529	0.8642487	0.8642487	0.8642487	-2.104662	0.007858475
200	-22.8764	-21.0843	-1.792097	0.6152145	0.6152145	0.6152145	-3.175386	0.0006677496
201	-23.32919	-21.45551	-1.873677	0.545881	0.545881	0.545881	-1.260975	0.05483085
202	-22.92274	-21.14614	-1.776603	0.642573	0.642573	0.642573	-2.015789	0.009642975
203	-23.08892	-21.0846	-2.004323	0.9695462	0.9695462	0.9695462	-3.140428	0.000723723
204	-23.12565	-21.08687	-2.038774	0.9932773	0.9932773	0.9932773	-2.974455	0.001060583
205	-22.85091	-21.08077	-1.770141	0.6629931	0.6629931	0.6629931	-3.801691	0.0001578735
