Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
139	-18.33679	-16.52867	-1.808112	0.7924788	0.7924788	0.7924788	-0.2492228	0.5633486
140	-18.38305	-16.41848	-1.964572	0.940695	0.940695	0.940695	-0.2176269	0.6058612
141	-18.45918	-16.59002	-1.869169	0.8610602	0.8610602	0.8610602	-0.18034	0.6601764
142	-18.57088	-16.48503	-2.085852	1.024226	1.024226	1.024226	-0.1497904	0.7082876
143	-18.85237	-16.44298	-2.409396	1.211065	1.211065	1.211065	-0.1006666	0.7931099
144	-18.69221	-16.64867	-2.043539	0.9964817	0.9964817	0.9964817	-0.1060502	0.7833392
145	-18.4108	-16.49009	-1.920706	0.9064006	0.9064006	0.9064006	-0.2005884	0.6301031
146	-18.405	-16.5933	-1.811702	0.7973821	0.7973821	0.7973821	-0.2123438	0.6132764
147	-18.32868	-16.51698	-1.811702	0.7973821	0.7973821	0.7973821	-0.2528237	0.558697
148	-18.74729	-16.95909	-1.788198	0.7607928	0.7607928	0.7607928	-0.1061568	0.7831469
149	-18.43682	-16.63918	-1.797637	0.7769734	0.7769734	0.7769734	-0.2033794	0.6260666
150	-18.28522	-16.48759	-1.797637	0.7769734	0.7769734	0.7769734	-0.2911039	0.5115594
151	-18.27703	-16.47939	-1.797637	0.7769734	0.7769734	0.7769734	-0.4955521	0.3194831
152	-18.45043	-16.6528	-1.797637	0.7769734	0.7769734	0.7769734	-0.1976251	0.6344171
153	-18.44022	-16.56479	-1.875429	0.8669692	0.8669692	0.8669692	-0.1877407	0.6490218
154	-18.88393	-15.97572	-2.908211	1.46258	1.46258	1.46258	-0.2215059	0.6004738
155	-18.30748	-16.38173	-1.925755	0.910511	0.910511	0.910511	-0.2600596	0.5494655
156	-18.26555	-16.49392	-1.771631	0.7190431	0.7190431	0.7190431	-0.4370178	0.3655798
157	-18.39891	-16.62728	-1.771631	0.7190431	0.7190431	0.7190431	-0.2448688	0.5690248
158	-18.35106	-16.57803	-1.773031	0.652237	0.652237	0.652237	-0.3513424	0.4453051
159	-18.51322	-16.52561	-1.987617	0.9576362	0.9576362	0.9576362	-0.6140427	0.2431965
160	-18.62264	-16.71537	-1.907275	0.5276539	0.5276539	0.5276539	-0.3780168	0.4187774
161	-18.89795	-16.79563	-2.102325	0.456517	0.456517	0.456517	-0.4015412	0.3966969
162	-19.62085	-17.07291	-2.547934	0.3680071	0.3680071	0.3680071	-0.2956776	0.5062003
163	-20.06029	-17.51236	-2.547934	0.3680071	0.3680071	0.3680071	-0.8811134	0.1314882
164	-19.45528	-16.90734	-2.547934	0.3680071	0.3680071	0.3680071	-0.4215857	0.3788038
165	-18.99621	-17.16148	-1.834728	0.5721967	0.5721967	0.5721967	-0.7902523	0.1620868
166	-18.3849	-16.61098	-1.77392	0.7271898	0.7271898	0.7271898	-0.2480599	0.5648591
167	-18.30426	-16.53635	-1.767908	0.696533	0.696533	0.696533	-0.3369392	0.460321
168	-18.29693	-16.52902	-1.767908	0.696533	0.696533	0.696533	-0.46666	0.3414601
169	-18.57944	-16.29759	-2.281844	1.141218	1.141218	1.141218	-0.5515756	0.2808176
170	-18.33141	-16.35887	-1.972542	0.9466263	0.9466263	0.9466263	-0.2499947	0.5623482
171	-18.39215	-16.53483	-1.857323	0.8494749	0.8494749	0.8494749	-0.2102618	0.6162235
172	-18.52776	-16.52176	-2.006004	0.9707291	0.9707291	0.9707291	-0.1576838	0.6955306
173	-19.07194	-17.30003	-1.771906	0.6559533	0.6559533	0.6559533	-0.06717252	0.8566975
174	-19.22166	-17.27646	-1.945197	0.5101595	0.5101595	0.5101595	-0.1369763	0.7294974
175	-18.91966	-16.97446	-1.945197	0.5101595	0.5101595	0.5101595	-0.2287901	0.5904864
176	-19.80335	-17.19443	-2.608922	0.3592982	0.3592982	0.3592982	-0.2528609	0.5586491
177	-18.36407	-16.58161	-1.782454	0.6304492	0.6304492	0.6304492	-0.4107467	0.3883768
178	-18.38963	-16.57105	-1.818581	0.8063277	0.8063277	0.8063277	-0.5836791	0.260808
179	-18.76455	-16.7703	-1.994256	0.4908194	0.4908194	0.4908194	-0.5257423	0.2980284
180	-18.55265	-16.58012	-1.972524	0.9466135	0.9466135	0.9466135	-0.6373045	0.2305131
181	-19.28051	-16.16492	-3.115592	1.562032	1.562032	1.562032	-0.5934419	0.2550105
182	-19.32868	-15.72485	-3.603827	1.791754	1.791754	1.791754	-0.3243434	0.4738672
183	-19.9052	-15.5926	-4.312604	2.123495	2.123495	2.123495	-0.3610412	0.4354705
184	-19.25654	-15.76838	-3.488161	1.737637	1.737637	1.737637	-0.2689196	0.5383694
185	-19.2823	-15.79414	-3.488161	1.737637	1.737637	1.737637	-0.2371986	0.5791638
186	-19.49657	-15.74611	-3.75046	1.860264	1.860264	1.860264	-0.4221429	0.3783181
187	-20.83046	-15.47379	-5.356665	2.623766	2.623766	2.623766	-0.41707	0.382763
188	-20.70162	-16.03416	-4.667463	2.29135	2.29135	2.29135	-0.6465622	0.2256513
189	-19.37704	-15.73436	-3.642678	1.809913	1.809913	1.809913	-0.3806198	0.4162749
190	-20.29443	-15.53261	-4.761823	2.336315	2.336315	2.336315	-0.3859403	0.4112062
191	-19.86083	-15.83655	-4.024282	1.988232	1.988232	1.988232	-0.5191968	0.3025542
192	-19.66983	-16.3605	-3.309337	1.653683	1.653683	1.653683	-0.6854439	0.206327
193	-21.01155	-18.48385	-2.527702	1.273161	1.273161	1.273161	-1.237707	0.05784862
194	-19.36449	-16.33408	-3.030406	1.521389	1.521389	1.521389	-0.6558717	0.2208657
195	-18.25221	-16.27999	-1.972223	0.9463904	0.9463904	0.9463904	-0.3391741	0.4579582
196	-18.33278	-16.48757	-1.845204	0.8369794	0.8369794	0.8369794	-0.2428802	0.5716363
