Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
127	-46.24077	-42.73477	-3.505998	1.74599	1.74599	1.74599	-3.357985	0.0004385462
128	-46.07219	-42.79288	-3.279307	1.639535	1.639535	1.639535	-2.373265	0.004233845
129	-46.00994	-42.73063	-3.279307	1.639535	1.639535	1.639535	-3.779126	0.000166293
130	-46.01104	-42.73173	-3.279307	1.639535	1.639535	1.639535	-3.623287	0.0002380744
131	-46.05764	-42.77833	-3.279307	1.639535	1.639535	1.639535	-2.483977	0.003281124
132	-46.11124	-42.83193	-3.279307	1.639535	1.639535	1.639535	-2.167808	0.006795041
133	-46.41708	-42.74268	-3.674407	1.824738	1.824738	1.824738	-3.017489	0.0009605308
134	-45.75111	-42.7305	-3.020613	1.5167	1.5167	1.5167	-3.804668	0.0001567948
135	-45.75285	-42.73224	-3.020613	1.5167	1.5167	1.5167	-3.569438	0.0002695021
136	-45.75357	-42.73296	-3.020613	1.5167	1.5167	1.5167	-3.499842	0.0003163431
137	-45.81041	-42.7898	-3.020613	1.5167	1.5167	1.5167	-2.397157	0.004007222
138	-45.39603	-42.94537	-2.45066	1.232971	1.232971	1.232971	-1.854533	0.01397869
139	-46.19696	-42.77342	-3.423536	1.707347	1.707347	1.707347	-2.527241	0.002970017
140	-45.81506	-42.73916	-3.075894	1.543124	1.543124	1.543124	-3.143097	0.0007192884
141	-46.62153	-42.74085	-3.880686	1.921094	1.921094	1.921094	-3.073707	0.0008439038
142	-45.33016	-42.78828	-2.541871	1.280463	1.280463	1.280463	-2.412992	0.003863743
143	-45.68702	-42.74	-2.947016	1.48133	1.48133	1.48133	-3.112755	0.0007713383
144	-45.3099	-42.88223	-2.427669	1.220801	1.220801	1.220801	-2.004735	0.009891565
145	-45.54889	-43.38086	-2.168037	1.075177	1.075177	1.075177	-1.375114	0.04215857
146	-45.05588	-43.2325	-1.823379	0.8122676	0.8122676	0.8122676	-1.49563	0.03194262
147	-44.865	-42.76854	-2.096458	1.031	1.031	1.031	-2.591107	0.00256385
148	-44.79986	-42.74581	-2.054056	1.003493	1.003493	1.003493	-2.950334	0.001121156
149	-44.80883	-42.736	-2.072824	1.015811	1.015811	1.015811	-3.299926	0.0005012727
150	-45.11031	-42.99502	-2.115298	1.042875	1.042875	1.042875	-1.768897	0.01702562
151	-45.11441	-42.73562	-2.378791	1.194621	1.194621	1.194621	-3.317707	0.000481164
152	-45.18377	-42.75704	-2.426724	1.2203	1.2203	1.2203	-2.732435	0.001851675
153	-44.56355	-42.73456	-1.828989	0.8189503	0.8189503	0.8189503	-3.390954	0.0004064863
154	-45.11822	-42.77789	-2.340336	1.173695	1.173695	1.173695	-2.497734	0.00317882
155	-45.07001	-42.72967	-2.340336	1.173695	1.173695	1.173695	-3.993554	0.0001014953
156	-46.66088	-42.72961	-3.931265	1.944731	1.944731	1.944731	-3.993554	0.0001014953
157	-44.50309	-42.73548	-1.767613	0.6911315	0.6911315	0.6911315	-3.336323	0.0004609743
158	-44.51163	-42.737	-1.774634	0.64758	0.64758	0.64758	-3.255995	0.0005546317
159	-45.90064	-42.76486	-3.135784	1.57163	1.57163	1.57163	-2.621188	0.002392282
160	-45.86682	-42.73103	-3.135784	1.57163	1.57163	1.57163	-3.716756	0.0001919745
161	-46.12288	-42.73492	-3.387964	1.690653	1.690653	1.690653	-3.349743	0.0004469482
162	-45.04405	-42.76545	-2.278592	1.139387	1.139387	1.139387	-2.623322	0.002380555
163	-44.84987	-42.73704	-2.112829	1.04133	1.04133	1.04133	-3.246104	0.0005674091
164	-44.86408	-42.75125	-2.112829	1.04133	1.04133	1.04133	-2.833093	0.001468612
165	-45.43102	-42.82987	-2.601152	1.310752	1.310752	1.310752	-2.183702	0.006550858
166	-46.08273	-42.74798	-3.334743	1.66564	1.66564	1.66564	-2.886127	0.001299791
167	-46.93369	-42.72986	-4.203838	2.072375	2.072375	2.072375	-3.927253	0.0001182354
168	-46.00196	-42.76262	-3.239349	1.62068	1.62068	1.62068	-2.647503	0.002251632
169	-47.90424	-42.99405	-4.910182	2.407337	2.407337	2.407337	-1.738444	0.01826234
170	-47.29122	-43.11519	-4.176032	2.059327	2.059327	2.059327	-1.581111	0.02623547
171	-47.29065	-43.11462	-4.176032	2.059327	2.059327	2.059327	-1.581763	0.02619614
172	-47.99512	-44.32073	-3.674386	1.824728	1.824728	1.824728	-0.9458264	0.1132853
173	-46.85349	-44.40315	-2.450346	1.232805	1.232805	1.232805	-0.9458264	0.1132853
174	-46.0491	-44.22246	-1.82664	0.8161852	0.8161852	0.8161852	-1.013981	0.09683212
175	-45.74044	-43.26256	-2.477873	1.247266	1.247266	1.247266	-1.458939	0.03475847
176	-44.75198	-42.73461	-2.017376	0.9786611	0.9786611	0.9786611	-3.384814	0.0004122736
177	-45.10144	-43.31076	-1.790672	0.7653049	0.7653049	0.7653049	-1.433494	0.03685582
178	-44.91937	-43.1287	-1.790672	0.7653049	0.7653049	0.7653049	-1.597799	0.02524648
179	-45.05707	-42.73029	-2.326779	1.16624	1.16624	1.16624	-3.851969	0.0001406147
180	-44.9934	-42.73702	-2.256386	1.126805	1.126805	1.126805	-3.245371	0.0005683666
181	-44.99304	-42.73666	-2.256386	1.126805	1.126805	1.126805	-3.263043	0.0005457041
182	-45.91043	-42.82958	-3.080852	1.545488	1.545488	1.545488	-2.179832	0.00660949
183	-44.89378	-42.75582	-2.137955	1.056912	1.056912	1.056912	-2.754587	0.001759598
184	-45.02869	-42.73399	-2.294704	1.148432	1.148432	1.148432	-3.424566	0.0003762133
185	-44.55887	-42.74798	-1.810888	0.7962858	0.7962858	0.7962858	-2.90435	0.001246378
186	-45.05764	-42.73035	-2.327288	1.166522	1.166522	1.166522	-3.839102	0.000144843
187	-47.18545	-42.73799	-4.447458	2.187072	2.187072	2.187072	-3.177777	0.0006640839
188	-46.94187	-42.73517	-4.206699	2.073718	2.073718	2.073718	-3.326085	0.0004719708
189	-45.88775	-42.73182	-3.155931	1.581195	1.581195	1.581195	-3.614037	0.0002431995
190	-45.93204	-42.77611	-3.155931	1.581195	1.581195	1.581195	-2.50486	0.003127086
191	-44.84383	-42.89529	-1.948543	0.9285096	0.9285096	0.9285096	-1.97571	0.01057522
192	-44.92392	-42.75976	-2.164153	1.072841	1.072841	1.072841	-2.696518	0.002011323
193	-44.54538	-42.74735	-1.798035	0.777602	0.777602	0.777602	-2.918667	0.001205961
194	-45.10152	-42.7518	-2.34972	1.17883	1.17883	1.17883	-2.820132	0.001513102
195	-44.94512	-42.82855	-2.116572	1.043671	1.043671	1.043671	-2.195139	0.006380591
196	-44.50093	-42.72992	-1.771008	0.7164685	0.7164685	0.7164685	-3.939262	0.0001150106
197	-44.85231	-42.75989	-2.092418	0.4593099	0.4593099	0.4593099	-2.707331	0.001961864
198	-45.57314	-42.72978	-2.843354	0.3300808	0.3300808	0.3300808	-3.981635	0.0001043193
199	-45.36238	-42.72978	-2.632599	0.3560565	0.3560565	0.3560565	-3.981635	0.0001043193
200	-44.79208	-42.72977	-2.062306	0.4681821	0.4681821	0.4681821	-3.981635	0.0001043193
201	-44.61353	-42.80044	-1.813089	0.5910269	0.5910269	0.5910269	-2.347451	0.004493133
202	-44.64419	-42.7506	-1.893586	0.8834087	0.8834087	0.8834087	-2.84874	0.001416642
203	-44.64438	-42.7508	-1.893586	0.8834087	0.8834087	0.8834087	-2.844967	0.001429004
204	-44.63159	-42.8289	-1.802688	0.7846998	0.7846998	0.7846998	-2.199128	0.006322262
205	-44.55949	-42.77324	-1.786254	0.7570715	0.7570715	0.7570715	-2.54903	0.002824682
206	-44.82061	-42.91553	-1.905079	0.5287553	0.5287553	0.5287553	-1.934688	0.01162283
207	-44.83295	-42.92787	-1.905079	0.5287553	0.5287553	0.5287553	-1.906935	0.01238983
208	-45.17475	-43.35525	-1.819506	0.5849812	0.5849812	0.5849812	-1.405981	0.03926618
209	-44.79373	-42.97422	-1.819506	0.5849812	0.5849812	0.5849812	-1.81477	0.015319
210	-44.59161	-42.78691	-1.804701	0.5997214	0.5997214	0.5997214	-2.437312	0.003653321
211	-44.55092	-42.73159	-1.819333	0.5851379	0.5851379	0.5851379	-3.662426	0.0002175575
212	-45.02821	-42.75906	-2.269151	0.4165289	0.4165289	0.4165289	-2.719757	0.001906528
213	-44.54551	-42.75856	-1.786948	0.75842	0.75842	0.75842	-2.719757	0.001906528
214	-44.92976	-42.74098	-2.188774	0.4343415	0.4343415	0.4343415	-3.099769	0.0007947505
215	-44.83933	-42.80744	-2.031893	0.4778045	0.4778045	0.4778045	-2.309704	0.004901131
216	-44.63775	-42.83958	-1.798169	0.7778127	0.7778127	0.7778127	-2.155465	0.006990938
217	-44.84678	-42.73314	-2.113649	0.453395	0.453395	0.453395	-3.5064	0.0003116019
218	-44.99263	-42.73314	-2.259491	0.4185522	0.4185522	0.4185522	-3.5064	0.0003116019
219	-44.71014	-42.73092	-1.979218	0.4964261	0.4964261	0.4964261	-3.75642	0.0001752186
220	-44.71962	-42.7404	-1.979218	0.4964261	0.4964261	0.4964261	-3.118501	0.0007612008
221	-44.52128	-42.75355	-1.76773	0.693834	0.693834	0.693834	-2.799187	0.001587864
222	-44.515	-42.74727	-1.76773	0.693834	0.693834	0.693834	-2.922174	0.00119626
223	-44.95351	-43.07341	-1.880099	0.5421451	0.5421451	0.5421451	-1.668067	0.02147498
224	-44.61108	-42.73098	-1.880099	0.5421451	0.5421451	0.5421451	-3.745967	0.0001794869
225	-44.77724	-42.76738	-2.009864	0.4852574	0.4852574	0.4852574	-2.614991	0.002426658
226	-44.75275	-42.73292	-2.019833	0.9803587	0.9803587	0.9803587	-3.51466	0.0003057314
227	-44.59245	-42.73104	-1.861417	0.8535428	0.8535428	0.8535428	-3.731117	0.0001857303
228	-44.5926	-42.73119	-1.861417	0.8535428	0.8535428	0.8535428	-3.709887	0.0001950352
229	-45.1069	-42.73981	-2.36709	1.188287	1.188287	1.188287	-3.125994	0.0007481791
230	-45.16644	-42.79935	-2.36709	1.188287	1.188287	1.188287	-2.341544	0.004554661
231	-45.16451	-43.05755	-2.106957	1.037642	1.037642	1.037642	-1.676891	0.02104308
232	-45.45485	-42.73873	-2.716127	1.368459	1.368459	1.368459	-3.164249	0.0006850957
233	-44.60546	-42.73122	-1.874239	0.8658565	0.8658565	0.8658565	-3.704342	0.0001975412
234	-44.97137	-42.73129	-2.240077	0.42271	0.42271	0.42271	-3.704342	0.0001975412
235	-44.98469	-42.73176	-2.252936	0.4199422	0.4199422	0.4199422	-3.6452	0.00022636
236	-44.50083	-42.73027	-1.770562	0.6611312	0.6611312	0.6611312	-3.865393	0.000136335
237	-44.65831	-42.84225	-1.816069	0.5881621	0.5881621	0.5881621	-2.14922	0.007092187
238	-44.6594	-42.79468	-1.864719	0.5513321	0.5513321	0.5513321	-2.384331	0.004127325
239	-45.06929	-42.96478	-2.104504	1.036095	1.036095	1.036095	-1.821602	0.01507987
240	-44.53839	-42.73247	-1.805917	0.789388	0.789388	0.789388	-3.560557	0.0002750699
241	-44.75084	-42.75249	-1.99835	0.9653209	0.9653209	0.9653209	-2.812084	0.001541402
242	-45.34638	-42.75039	-2.595984	1.308127	1.308127	1.308127	-2.843981	0.00143225
243	-45.40718	-42.8112	-2.595984	1.308127	1.308127	1.308127	-2.272024	0.00534535
244	-47.56013	-44.00137	-3.558756	1.770679	1.770679	1.770679	-1.052662	0.08858047
245	-45.9144	-42.82102	-3.093378	1.551458	1.551458	1.551458	-2.218108	0.0060519
246	-46.39315	-42.81415	-3.579005	1.780149	1.780149	1.780149	-2.246609	0.005667498
247	-48.28332	-42.99416	-5.28916	2.590765	2.590765	2.590765	-1.733877	0.01845539
248	-45.57979	-42.82065	-2.75914	1.389754	1.389754	1.389754	-2.223354	0.005979244
249	-45.51699	-42.75785	-2.75914	1.389754	1.389754	1.389754	-2.716961	0.001918843
250	-44.97613	-42.76731	-2.208812	1.099344	1.099344	1.099344	-2.603026	0.002494445
251	-44.498	-42.73034	-1.767664	0.6821467	0.6821467	0.6821467	-3.852226	0.0001405317
252	-45.19443	-42.73057	-2.463855	1.239917	1.239917	1.239917	-3.797483	0.0001594104
253	-44.7463	-42.7306	-2.015697	0.9774975	0.9774975	0.9774975	-3.797483	0.0001594104
254	-44.71673	-42.80431	-1.912425	0.8995521	0.8995521	0.8995521	-2.31839	0.004804077
255	-45.28198	-42.96313	-2.318854	1.161863	1.161863	1.161863	-1.821796	0.01507315
256	-44.98234	-42.96891	-2.013427	0.97592	0.97592	0.97592	-1.81542	0.01529608
257	-44.94324	-42.85896	-2.084279	0.4616493	0.4616493	0.4616493	-2.092474	0.008082135
258	-45.36944	-43.28255	-2.086893	1.024893	1.024893	1.024893	-1.448529	0.03560169
259	-45.47492	-43.10037	-2.374548	1.192327	1.192327	1.192327	-1.619584	0.02401134
260	-45.35415	-42.75905	-2.595099	1.307678	1.307678	1.307678	-2.701532	0.001988237
261	-44.63294	-42.75589	-1.877052	0.8684788	0.8684788	0.8684788	-2.757458	0.001748004
262	-44.80115	-42.94462	-1.856526	0.5565934	0.5565934	0.5565934	-1.871234	0.01345136
263	-44.62361	-42.7309	-1.892702	0.8826304	0.8826304	0.8826304	-3.750613	0.0001775771
264	-44.74185	-42.84238	-1.899469	0.8885404	0.8885404	0.8885404	-2.142295	0.00720617
265	-44.88027	-42.74874	-2.131533	1.052959	1.052959	1.052959	-2.882837	0.001309673
266	-45.96011	-42.74624	-3.21387	1.608638	1.608638	1.608638	-2.927279	0.00118228
267	-45.28952	-42.73192	-2.557602	1.288541	1.288541	1.288541	-3.608801	0.0002461497
268	-44.5873	-42.75032	-1.836979	0.8280489	0.8280489	0.8280489	-2.85525	0.001395565
269	-44.5669	-42.72992	-1.836979	0.8280489	0.8280489	0.8280489	-3.937441	0.0001154938
270	-44.51022	-42.73249	-1.77773	0.6399659	0.6399659	0.6399659	-3.561973	0.0002741743
271	-44.63975	-42.73119	-1.908567	0.527011	0.527011	0.527011	-3.716316	0.0001921694
272	-44.50072	-42.73116	-1.769557	0.7094066	0.7094066	0.7094066	-3.716316	0.0001921694
273	-44.52571	-42.73303	-1.792682	0.7688163	0.7688163	0.7688163	-3.509559	0.0003093432
274	-44.76499	-42.7308	-2.034185	0.4770537	0.4770537	0.4770537	-3.774751	0.0001679766
275	-44.74805	-42.81097	-1.937083	0.5136845	0.5136845	0.5136845	-2.290004	0.005128561
276	-44.9074	-42.73553	-2.171873	0.4384001	0.4384001	0.4384001	-3.338199	0.0004589877
277	-44.94616	-42.73553	-2.210624	0.4292667	0.4292667	0.4292667	-3.338199	0.0004589877
278	-45.36564	-42.97353	-2.392108	0.3930498	0.3930498	0.3930498	-1.820315	0.01512464
279	-44.7579	-42.79439	-1.963514	0.9399014	0.9399014	0.9399014	-2.378152	0.004186469
280	-46.26071	-43.37712	-2.883583	1.45064	1.45064	1.45064	-1.367427	0.04291147
281	-45.44391	-43.17231	-2.271595	1.135438	1.135438	1.135438	-1.543327	0.02862022
282	-45.19795	-43.07028	-2.127666	0.4496291	0.4496291	0.4496291	-1.674219	0.02117292
